RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
20504,02/03/0022 12:00:00 AM,6:00:00,Choque,herido,Conductor,km 8+500 entrada vallecitos,Esmeralda,Urbana,Normal,0,0,0,2,2,0
20521,09/03/0022 12:00:00 AM,8:30:00,Choque,herido,Ciclista-Motociclista,vereda yarumito- km 10 + 700,Esmeralda,Rural,Normal,0,0,0,2,2,0
20522,02/03/0022 12:00:00 AM,5:05:00,Choque,herido,Ciclista-Motociclista,MATAZANOS  KM 34 + 550,Esmeralda,Rural,Lluvia,0,0,0,1,1,0
20528,10/03/0022 12:00:00 AM,20:00:00,Volcamiento,herido,Ciclista-Motociclista,CRA 17 CON CALLE 10,Parq.De Las Aguas,Urbana,Normal,0,0,0,1,1,0
20529,01/16/2022 12:00:00 AM,19:00:00,Choque,herido,Ciclista-Motociclista,vereda platanito- km 6 + 500,Esmeralda,Rural,Normal,0,0,0,1,1,0
20532,02/03/0022 12:00:00 AM,7:50:00,Choque,daño,Ciclista-Motociclista,la lomita 1- km 21 + 800 bello-hatillo,Esmeralda,Rural,Lluvia,0,0,0,0,0,0
20533,01/16/2022 12:00:00 AM,10:15:00,Choque,herido,Ciclista-Motociclista,PLATANITOKM 7 + 400   LA 70,Esmeralda,Rural,Normal,0,0,0,1,1,0
20534,01/18/2022 12:00:00 AM,17:30:00,Choque,herido,Ciclista-Motociclista,CRA 21 #04-267,Esmeralda,Urbana,Normal,0,0,0,1,1,0
20535,08/03/0022 12:00:00 AM,13:20:00,Choque,daño,Ciclista-Motociclista,VEREDA CHICHARRAS-KM 8-RUTA 6205,Esmeralda,Rural,Normal,0,0,0,0,0,0
20570,08/04/0022 12:00:00 AM,14:20:00,Choque,herido,Ciclista-Motociclista,CALLE 11  CARRERA  17- H.S.V.P,Parq.De Las Aguas,Urbana,Normal,0,0,3,0,3,0
20575,11/04/0022 12:00:00 AM,14:30:00,Choque,daño,Ciclista-Motociclista,calle 13 con carrera 17,Parque Principal,Urbana,Normal,0,0,0,0,0,0
20580,02/14/2022 12:00:00 AM,7:30:00,Choque,daño,Ciclista-Motociclista,KM 27 + 600 HATILLO- MATASANOS  LAS ESES,Esmeralda,Rural,Normal,0,0,0,0,0,0
20581,02/16/2022 12:00:00 AM,19:20:00,Choque,daño,Ciclista-Motociclista,CARRERA 19 CON CALLE 17 PEPE SIERRA 2,Esmeralda,Urbana,Normal,0,0,0,0,0,0
20582,02/19/2022 12:00:00 AM,19:40:00,Choque,herido,Ciclista-Motociclista,KM 5 + 880 RUTA 62-05 ISAZA,Esmeralda,Rural,Lluvia,0,0,1,1,2,0
20589,02/25/2022 12:00:00 AM,22:30:00,Choque,herido,Ciclista-Motociclista,km 8 barrio la esmeralda,Esmeralda,Rural,Normal,0,0,0,2,2,0
20590,02/26/2022 12:00:00 AM,8:20:00,Choque,herido,Ciclista-Motociclista,km 3 + 000 vereda isaza,Esmeralda,Rural,Normal,0,0,0,2,2,0
20591,02/27/2022 12:00:00 AM,11:30:00,Choque,daño,Ciclista-Motociclista,CALLE 16 CON CRA 14   EURO,Parque Principal,Urbana,Normal,0,0,0,0,0,0
20537,01/20/2022 12:00:00 AM,13:30:00,Choque,daño,Ciclista-Motociclista,ENTRADA EL ECO-KM 4 + 400,Esmeralda,Rural,Normal,0,0,0,0,0,0
20538,01/23/2022 12:00:00 AM,10:40:00,Atropello,herido,Ciclista-Motociclista,CRA 14 #15-14,Parque Principal,Urbana,Normal,1,0,0,0,1,0
20539,01/21/2022 12:00:00 AM,5:45:00,Atropello,herido,Ciclista-Motociclista,6205A KM 8,Esmeralda,Rural,Normal,1,0,0,1,2,0
20569,06/04/0022 12:00:00 AM,8:40:00,Caida Ocupante,herido,Ciclista-Motociclista,VEREDA LAJAS KM 5,Esmeralda,Rural,Normal,0,0,1,0,1,0
20880,07/24/2022 12:00:00 AM,13:00:00,Choque,herido,Ciclista-Motociclista,6205 KM 19 + 900 Aprox Retorno pradera,Esmeralda,Rural,Normal,0,0,1,1,2,0
20882,06/23/2022 12:00:00 AM,21:00:00,Choque,daño,Ciclista-Motociclista,2510 hatillo matasano km 28 +800,Esmeralda,Rural,Normal,0,0,0,0,0,0
20511,02/03/0022 12:00:00 AM,12:15:00,Choque,daño,Conductor,6205 km 23 VEREDA LA PALMA,Esmeralda,Rural,Normal,0,0,0,0,0,0
20513,01/03/0022 12:00:00 AM,23:00:00,Volcamiento,herido,Conductor,MOLINO VIEJO,Esmeralda,Rural,Normal,0,1,0,1,2,0
20516,08/03/0022 12:00:00 AM,23:30:00,Choque,herido,Conductor,6205 KM 8+600 LA ESMERALDA,Esmeralda,Rural,Normal,0,0,1,2,3,0
20518,09/03/0022 12:00:00 AM,11:30:00,Choque,herido,Conductor,02+900VEREDA EL CORTADO,Esmeralda,Rural,Normal,0,0,0,1,1,0
20561,01/25/2022 12:00:00 AM,16:24:00,Choque,daño,Ciclista-Motociclista,los blanqueados km 31 + 700 via don matias,Esmeralda,Rural,Niebla,0,0,0,0,0,0
20562,02/04/0022 12:00:00 AM,6:45:00,Choque,herido,Ciclista-Motociclista,VEREDA EL ECO   KM 4 + 50 TR 6205,Esmeralda,Rural,Normal,0,0,0,2,2,0
20563,01/26/2022 12:00:00 AM,18:25:00,Choque,daño,Ciclista-Motociclista,brisas del norte  km 29 + 220,Esmeralda,Rural,Lluvia,0,0,0,0,0,0
20564,01/26/2022 12:00:00 AM,11:00:00,Volcamiento,daño,Ciclista-Motociclista,via bello-hatillo km 25 + 820,Esmeralda,Rural,Normal,0,0,0,0,0,0
20592,05/04/0022 12:00:00 AM,16:00:00,Choque,daño,Ciclista-Motociclista,km 35 + 000 sector las cometas,Esmeralda,Rural,Normal,0,0,0,0,0,0
20629,03/30/2022 12:00:00 AM,10:15:00,Choque,herido,Ciclista-Motociclista,km 6+200 el saladito,Esmeralda,Rural,Normal,0,0,1,1,2,0
20688,01/07/0022 12:00:00 AM,18:30:00,Choque,herido,Ciclista-Motociclista,KM 5 + 980    VEREDA GRACIANO,Esmeralda,Rural,Normal,0,2,0,2,4,0
20689,04/07/0022 12:00:00 AM,5:30:00,Atropello,herido,Ciclista-Motociclista,KM 23 + 300,Esmeralda,Rural,Normal,1,0,0,0,1,0
20690,03/07/0022 12:00:00 AM,22:45:00,Choque,herido,Ciclista-Motociclista,cra 21 calle 4-215 la esmeralda,Esmeralda,Urbana,Normal,0,0,0,2,2,0
20691,03/07/0022 12:00:00 AM,5:15:00,Choque,herido,Ciclista-Motociclista,KM 6 + 000 ANDERCOL,Esmeralda,Rural,Normal,0,0,0,1,1,0
20697,10/07/0022 12:00:00 AM,16:00:00,Volcamiento,herido,Ciclista-Motociclista,km 4+300  isaza,Esmeralda,Rural,Normal,0,1,0,1,2,0
20698,11/07/0022 12:00:00 AM,11:00:00,Volcamiento,herido,Ciclista-Motociclista,CRA 21,Esmeralda,Urbana,Lluvia,0,0,0,1,1,0
20699,10/07/0022 12:00:00 AM,16:20:00,Volcamiento,herido,Ciclista-Motociclista,KM 8 + 500 CINCO REALES,Esmeralda,Rural,Normal,0,0,0,1,1,0
20700,09/07/0022 12:00:00 AM,15:40:00,Caida Ocupante,herido,Ciclista-Motociclista,km 4 + 300 el eco,Esmeralda,Rural,Lluvia,0,0,1,0,1,0
20701,08/07/0022 12:00:00 AM,19:30:00,Volcamiento,herido,Ciclista-Motociclista,vereda isaza,Esmeralda,Rural,Normal,0,0,0,1,1,0
20702,11/07/0022 12:00:00 AM,16:00:00,Choque,herido,Ciclista-Motociclista,KM 8 +800 RUTA 25 AN 19 PLATANITO,Esmeralda,Rural,Normal,0,0,0,2,2,0
20734,05/28/2022 12:00:00 AM,16:00:00,Otro,muerte,Ciclista-Motociclista,ruta 6205 km 10 vallecitos,Esmeralda,Rural,Normal,0,0,0,1,0,1
20735,05/20/2022 12:00:00 AM,13:10:00,Choque,herido,Ciclista-Motociclista,cra 17 #10-34 hospital,Parq.De Las Aguas,Urbana,Normal,0,0,0,2,2,0
20510,01/03/0022 12:00:00 AM,16:00:00,Atropello,muerte,Conductor,cr 14 Nº15,Esmeralda,Urbana,Normal,1,0,0,0,0,1
20523,02/03/0022 12:00:00 AM,19:00:00,Choque,herido,Ciclista-Motociclista,la lomita 2  km 21 + 800 bello-hatillo,Esmeralda,Rural,Lluvia,0,0,1,1,2,0
20606,03/15/2022 12:00:00 AM,16:10:00,Choque,herido,Ciclista-Motociclista,km 0 + 300 via a colkim,Hospital,Rural,Normal,1,0,1,1,3,0
20746,05/08/0022 12:00:00 AM,3:30:00,Volcamiento,herido,Ciclista-Motociclista,via hatillo cabildo km 9 + 200,Hospital,Rural,Normal,0,0,0,1,1,0
20747,05/08/0022 12:00:00 AM,4:00:00,Volcamiento,herido,Ciclista-Motociclista,km 4 + 00  vereda el eco,Esmeralda,Rural,Normal,0,0,0,1,1,0
20748,05/08/0022 12:00:00 AM,10:10:00,Choque,daño,Ciclista-Motociclista,cra 17 #20-17,Hospital,Urbana,Normal,0,0,0,0,0,0
20749,03/08/0022 12:00:00 AM,16:46:00,Choque,daño,Ciclista-Motociclista,barrio santa monica   calle 13 #18-08,Hospital,Urbana,Normal,0,0,0,0,0,0
20750,03/08/0022 12:00:00 AM,17:20:00,Volcamiento,herido,Ciclista-Motociclista,VEREDA CHICHARRAS KM 7 + 500 METROS,Esmeralda,Rural,Normal,0,0,0,1,1,0
20751,03/08/0022 12:00:00 AM,13:50:00,Choque,daño,Ciclista-Motociclista,calle 11 con cra 15  esquina del hospital,Parq.De Las Aguas,Urbana,Normal,0,0,0,0,0,0
20752,06/08/0022 12:00:00 AM,16:00:00,Caida Ocupante,herido,Ciclista-Motociclista,KM 8 + 500,Hospital,Rural,Normal,0,1,0,0,1,0
20766,04/08/0022 12:00:00 AM,11:45:00,Volcamiento,herido,Ciclista-Motociclista,cra 17 #10-34 hospital,Parq.De Las Aguas,Urbana,Lluvia,0,0,0,1,1,0
20767,09/08/0022 12:00:00 AM,5:20:00,Volcamiento,herido,Ciclista-Motociclista,vereda la chorrera,Esmeralda,Rural,Normal,0,0,0,1,1,0
20768,06/14/2022 12:00:00 AM,21:10:00,Volcamiento,herido,Ciclista-Motociclista,cra 18 con calle 13 barrio santa monica,Hospital,Urbana,Lluvia,0,0,1,0,1,0
20769,06/14/2022 12:00:00 AM,14:30:00,Volcamiento,herido,Ciclista-Motociclista,km 1 + 300 hatillo  barbosa,Esmeralda,Rural,Normal,0,0,0,1,1,0
20770,06/14/2022 12:00:00 AM,21:30:00,Volcamiento,herido,Ciclista-Motociclista,cra 18 barrio santa monica,Hospital,Urbana,Lluvia,0,0,1,0,1,0
20771,11/08/0022 12:00:00 AM,10:20:00,Choque,herido,Ciclista-Motociclista,km 2 +200 criadero villa rita,Esmeralda,Rural,Lluvia,0,0,0,1,1,0
20805,06/19/2022 12:00:00 AM,18:50:00,Caida Ocupante,herido,Ciclista-Motociclista,cra 17 #10-34 hospital,Parq.De Las Aguas,Urbana,Normal,0,0,1,0,1,0
20806,11/08/0022 12:00:00 AM,7:45:00,Volcamiento,herido,Ciclista-Motociclista,hatillo km 00+ 100,Esmeralda,Rural,Lluvia,0,1,0,1,2,0
20807,06/22/2022 12:00:00 AM,10:20:00,Choque,daño,Ciclista-Motociclista,vereda canaan km 1 barbosa  colkim,Esmeralda,Rural,Normal,0,0,0,0,0,0
20808,12/08/0022 12:00:00 AM,5:10:00,Choque,herido,Ciclista-Motociclista,vereda graciano y se atien de en el hospital cll #10-34 con cra 17,Esmeralda,Rural,Normal,0,0,1,0,1,0
20809,06/20/2022 12:00:00 AM,18:10:00,Volcamiento,herido,Ciclista-Motociclista,cra 21,Hospital,Urbana,Normal,0,0,1,1,2,0
20810,04/09/0022 12:00:00 AM,16:30:00,Volcamiento,herido,Ciclista-Motociclista,RUTA 6220 KM 1 + 300,Esmeralda,Rural,Normal,0,0,1,1,2,0
20829,02/09/0022 12:00:00 AM,12:10:00,Atropello,herido,Ciclista-Motociclista,cra 14 con calle 13 iglesia san antonio,Esmeralda,Urbana,Normal,1,0,0,0,1,0
20830,05/09/0022 12:00:00 AM,8:30:00,Choque,herido,Ciclista-Motociclista,km 4+400,Esmeralda,Rural,Normal,0,0,0,1,1,0
20831,07/09/0022 12:00:00 AM,10:30:00,Volcamiento,herido,Ciclista-Motociclista,KM 1 +300 VEREDA LA CUESTA,Esmeralda,Rural,Normal,0,0,0,1,1,0
20832,04/09/0022 12:00:00 AM,20:30:00,Volcamiento,herido,Ciclista-Motociclista,KM 1 + 100 VIA CONCEPCION VEREDA BUENOS AIRES PARTE ALTA,Esmeralda,Rural,Normal,0,0,0,1,1,0
20530,01/17/2022 12:00:00 AM,13:00:00,Choque,herido,Ciclista-Motociclista,EL ECO KM 4 + 000,Esmeralda,Rural,Normal,0,0,0,1,1,0
20531,10/03/0022 12:00:00 AM,14:00:00,Choque,herido,Ciclista-Motociclista,LOMA MATAZANOS- KM 25+800 HATILLO-MATAZANOS,Esmeralda,Rural,Normal,0,0,3,1,4,0
20578,02/14/2022 12:00:00 AM,16:20:00,Atropello,herido,Ciclista-Motociclista,el machete- km 20 + 800 bello hatillo,Esmeralda,Rural,Normal,1,0,0,0,1,0
20579,02/17/2022 12:00:00 AM,21:00:00,Choque,daño,Ciclista-Motociclista,calle 13 con cra 10   el talego,Parque Principal,Urbana,Normal,0,0,0,0,0,0
20583,02/19/2022 12:00:00 AM,16:40:00,Atropello,herido,Ciclista-Motociclista,cra 14 con calle 11   centro,Parque Principal,Urbana,Normal,0,0,1,0,1,0
20736,05/28/2022 12:00:00 AM,17:30:00,Volcamiento,herido,Ciclista-Motociclista,cra17 #140-34 hospital,Parq.De Las Aguas,Urbana,Normal,0,0,0,1,1,0
20737,05/31/2022 12:00:00 AM,16:00:00,Volcamiento,herido,Ciclista-Motociclista,km 3 aproximadamente vereda el cortado,Esmeralda,Rural,Normal,0,0,0,1,1,0
20738,05/31/2022 12:00:00 AM,14:20:00,Volcamiento,herido,Ciclista-Motociclista,km 19 aproximadamente  vereda el paraiso,Esmeralda,Rural,Normal,0,0,0,1,1,0
20739,05/31/2022 12:00:00 AM,8:15:00,Volcamiento,herido,Ciclista-Motociclista,cra 21  y se atiende en el hospìtal,Hospital,Urbana,Normal,0,0,0,1,1,0
20740,05/31/2022 12:00:00 AM,6:45:00,Volcamiento,herido,Ciclista-Motociclista,km 8 vereda san eugenio,Esmeralda,Rural,Normal,0,0,0,1,1,0
20741,05/31/2022 12:00:00 AM,8:30:00,Volcamiento,herido,Ciclista-Motociclista,km 3 +500 via hatillo  los lagos,Esmeralda,Rural,Normal,0,0,0,1,1,0
